time,alb_KPC_L,lat_KPC_L,lon_KPC_L,cloud_KPC_L
2018-07-30,0.4822,79.910884,-24.082215,0.1439
2018-07-31,0.4491,79.910885,-24.082216,0.2914
2018-08-01,0.4267,79.910886,-24.082203,0.2458
2018-08-02,0.4144,79.910886,-24.082214,0.9364
2018-08-03,0.398,79.910884,-24.082188,0.9695
2018-08-04,0.3924,79.910887,-24.082193,0.6108
2018-08-05,0.4555,79.910886,-24.082215,0.2579
2018-08-06,0.4168,79.910885,-24.082201,0.211
2018-08-07,0.4131,79.910885,-24.0822,0.1567
2018-08-08,0.3906,79.910886,-24.082196,0.2139
2018-08-09,0.4226,79.910886,-24.082205,0.4439
2018-08-10,0.4248,79.910885,-24.082209,0.3292
2018-08-11,0.4449,79.910882,-24.082183,0.2343
2018-08-12,0.4687,79.910884,-24.082188,0.2626
2018-08-13,0.4804,79.910884,-24.082181,0.3256
2018-08-14,0.5064,79.91088,-24.082189,0.5439
2018-08-15,0.4622,79.910883,-24.082189,0.8893
2018-08-16,0.4624,79.910881,-24.082184,0.5421
2018-08-17,0.5118,79.910882,-24.082172,0.2131
2018-08-18,0.4379,79.910882,-24.082166,0.2414
2018-08-19,0.4356,79.910882,-24.082183,0.4176
2018-08-20,0.4237,79.910884,-24.082184,0.3804
2018-08-21,0.3872,79.910882,-24.082176,0.7201
2018-08-22,0.4391,79.910883,-24.082177,0.3776
2018-08-23,0.4393,79.910884,-24.082176,0.7289
2018-08-24,0.4583,79.910885,-24.082185,0.2686
2018-08-25,0.4755,79.910884,-24.082179,0.1669
2018-08-26,0.4525,79.910882,-24.082149,0.405
2018-08-27,0.4894,79.910882,-24.082162,0.242
2019-05-01,0.8016,79.910884,-24.081999,0.205
2019-05-02,0.8002,79.910886,-24.081997,0.2414
2019-05-03,0.8074,79.910886,-24.081994,0.4388
2019-05-04,0.8056,79.910882,-24.081987,0.4392
2019-05-05,0.8061,79.910884,-24.081979,0.4475
2019-05-06,0.8034,79.910883,-24.081987,0.2245
2019-05-07,0.8043,79.910882,-24.081981,0.2234
2019-05-08,0.8004,79.910881,-24.08198,0.2292
2019-05-09,0.7993,79.910883,-24.081988,0.2564
2019-05-10,0.7874,79.910883,-24.081978,0.2635
2019-05-11,0.7984,79.910881,-24.081978,0.4308
2019-05-12,0.8361,79.91088,-24.081983,0.3771
2019-05-13,0.8116,79.910883,-24.082,0.2203
2019-05-14,0.8505,79.91088,-24.081984,0.8821
2019-05-15,0.8175,79.910882,-24.081986,0.5354
2019-05-16,0.8096,79.910884,-24.081974,0.6199
2019-05-17,0.8262,79.910882,-24.081978,0.4767
2019-05-18,0.8105,79.910881,-24.081978,0.2812
