time,alb_QAS_M,lat_QAS_M,lon_QAS_M,cloud_QAS_M
2018-09-04,0.5203,61.099283,-46.833349,0.669
2018-09-05,0.2206,61.09928,-46.83335,0.8717
2018-09-06,0.2499,61.09928,-46.833356,0.8334
2018-09-07,0.2657,61.099277,-46.833352,0.8776
2018-09-08,0.2934,61.09928,-46.833353,0.6561
2018-09-09,0.2895,61.099278,-46.833355,0.5093
2018-09-10,0.311,61.099279,-46.833354,0.1989
2018-09-11,0.6266,61.099279,-46.833352,0.4965
2018-09-12,0.3993,61.099278,-46.83335,0.0784
2018-09-13,0.3267,61.099277,-46.833355,0.3138
2018-09-14,0.63,61.099275,-46.833353,0.6047
2018-09-15,0.5428,61.099273,-46.833352,0.1618
2018-09-16,0.4435,61.099272,-46.833358,0.5506
2018-09-17,0.8166,61.09927,-46.83336,0.812
2018-09-18,0.7399,61.09927,-46.83336,0.6623
2018-09-19,0.7054,61.099268,-46.833364,0.1673
2018-09-20,0.6873,61.099268,-46.833362,0.1366
2018-09-21,0.6246,61.09927,-46.833362,0.743
2018-09-22,0.8611,61.09927,-46.833365,0.8934
2018-09-23,0.869,61.099265,-46.83336,0.9374
2018-09-24,0.856,61.099265,-46.833357,0.7629
2018-09-25,0.9022,61.099268,-46.833359,0.1972
2018-09-26,0.9165,61.099266,-46.833361,0.3202
2018-09-27,0.9044,61.099265,-46.833355,0.9742
2018-09-28,0.9552,61.099265,-46.833356,0.5954
2018-09-29,0.8892,61.099264,-46.833357,0.484
2018-09-30,0.8616,61.099262,-46.833359,0.9601
2019-05-01,0.424,61.099119,-46.833436,0.7484
2019-05-02,0.7151,61.099118,-46.833446,0.5352
2019-05-03,0.7206,61.099116,-46.833444,0.6585
2019-05-04,0.6654,61.099113,-46.833438,0.7805
2019-05-05,0.6741,61.099115,-46.833443,0.8181
2019-05-06,0.6932,61.099118,-46.833443,0.8263
2019-05-07,0.7015,61.09912,-46.833439,0.4477
2019-05-08,0.7648,61.099116,-46.833432,0.6546
2019-05-09,0.7822,61.099115,-46.833441,0.9125
2019-05-10,0.8497,61.099113,-46.833437,0.8546
2019-05-11,0.74,61.09911,-46.833444,0.4492
2019-05-12,0.7373,61.099105,-46.833441,0.0808
2019-05-13,0.7187,61.099104,-46.833445,0.4904
2019-05-14,0.7634,61.099103,-46.833438,0.7685
2019-05-15,0.6881,61.099107,-46.833444,0.5627
2019-05-16,0.6801,61.099107,-46.833443,0.2353
2019-05-17,0.7067,61.099103,-46.833441,0.4418
2019-05-18,0.7123,61.099105,-46.833448,0.8333
2019-05-19,0.6819,61.099105,-46.833454,0.4561
2019-05-20,0.6792,61.099099,-46.833443,0.1853
2019-05-21,0.6755,61.099102,-46.833448,0.1357
2019-05-22,0.7151,61.099102,-46.833461,0.3761
2019-05-23,0.6995,61.0991,-46.833464,0.6181
2019-05-24,0.7419,61.099097,-46.833469,0.7253
2019-05-25,0.7615,61.099091,-46.833468,0.7643
2019-05-26,0.7185,61.099096,-46.833471,0.8084
2019-05-27,0.6449,61.099097,-46.833477,0.33
2019-05-28,0.6528,61.099098,-46.833488,0.2184
2019-05-29,0.6438,61.099096,-46.833476,0.1353
2019-05-30,0.6403,61.099094,-46.833474,0.0856
2019-05-31,0.6412,61.099104,-46.833463,0.0938
2019-06-01,0.6471,61.099092,-46.833456,0.2718
2019-06-02,0.6776,61.09909,-46.833465,0.6731
2019-06-03,0.6457,61.099096,-46.833469,0.2866
2019-06-04,0.6451,61.09909,-46.833462,0.1534
2019-06-05,0.6987,61.09909,-46.833467,0.5118
2019-06-06,0.7674,61.09909,-46.833462,0.9269
2019-06-07,0.6952,61.099079,-46.833463,0.8012
2019-06-08,0.7542,61.099077,-46.83346,0.7562
2019-06-09,0.6994,61.099078,-46.833462,0.7747
2019-06-10,0.6806,61.099079,-46.833462,0.3149
2019-06-11,0.7071,61.099077,-46.83347,0.5945
2019-06-12,0.7422,61.099078,-46.833471,0.8495
2019-06-13,0.6456,61.099074,-46.833466,0.5061
2019-06-14,0.6521,61.099076,-46.833469,0.4965
2019-06-15,0.6371,61.099072,-46.833469,0.4137
2019-06-16,0.632,61.099072,-46.833469,0.345
2019-06-17,0.6311,61.099071,-46.833471,0.331
2019-06-18,0.6339,61.09907,-46.83347,0.3203
2019-06-19,0.6337,61.099065,-46.833469,0.2964
2019-06-20,0.624,61.099066,-46.833471,0.2902
2019-06-21,0.6133,61.099064,-46.833472,0.2296
2019-06-22,0.61,61.099063,-46.833472,0.2891
2019-06-23,0.6799,61.099062,-46.833471,0.9064
2019-06-24,0.6346,61.099063,-46.833472,0.9947
2019-06-25,0.5379,61.099056,-46.833469,0.8917
2019-06-26,0.5667,61.099057,-46.833472,0.9926
2019-06-27,0.5256,61.099057,-46.833475,0.7649
2019-06-28,0.5151,61.099055,-46.833479,0.3139
2019-06-29,0.5658,61.099054,-46.833476,0.9376
2019-06-30,0.5541,61.099053,-46.833475,0.436
2019-07-01,0.5869,61.099054,-46.833473,0.6415
2019-07-02,0.5419,61.099054,-46.833472,0.6732
2019-07-03,0.5015,61.09905,-46.833477,0.1469
2019-07-04,0.4896,61.099046,-46.833478,0.2657
2019-07-05,0.4604,61.099044,-46.833484,0.2548
2019-07-06,0.428,61.099046,-46.83348,0.7074
2019-07-07,0.3299,61.099043,-46.833483,0.8743
2019-07-08,0.2734,61.099041,-46.833475,0.6817
2019-07-09,0.2942,61.099041,-46.833482,0.6321
2019-07-10,0.3006,61.099039,-46.833479,0.442
2019-07-11,0.2988,61.099037,-46.833484,0.2964
2019-07-12,0.2784,61.099036,-46.833483,0.4098
2019-07-13,0.2473,61.099037,-46.833481,0.5778
2019-07-14,0.2222,61.099034,-46.833482,0.5798
2019-07-15,0.2318,61.099029,-46.833489,0.3303
2019-07-16,0.2554,61.099031,-46.833484,0.6883
2019-07-17,0.2022,61.099029,-46.833483,0.8897
2019-07-18,0.1928,61.099024,-46.833487,0.8917
2019-07-19,0.1907,61.099024,-46.833488,0.4614
2019-07-20,0.201,61.099026,-46.833485,0.3425
2019-07-21,0.204,61.099022,-46.833488,0.4061
2019-07-22,0.2056,61.099021,-46.83349,0.3058
2019-07-23,0.2014,61.099021,-46.833491,0.3421
2019-07-24,0.2154,61.09902,-46.833493,0.9334
2019-07-25,0.2025,61.09902,-46.833493,0.9466
2019-07-26,0.2025,61.099012,-46.83349,0.9929
2019-07-27,0.1925,61.099015,-46.833498,0.944
2019-07-28,0.203,61.099012,-46.83349,0.721
2019-07-29,0.205,61.099012,-46.833498,0.2579
2019-07-30,0.2002,61.099014,-46.833502,0.4388
2019-07-31,0.1783,61.09901,-46.8335,0.8404
2019-08-01,0.1836,61.099007,-46.833501,0.7295
2019-08-02,0.1794,61.099006,-46.833506,0.4
2019-08-03,0.1795,61.099007,-46.833506,0.7504
2019-08-04,0.1901,61.099003,-46.833513,0.5152
2019-08-05,0.1878,61.099001,-46.833514,0.566
2019-08-06,0.1977,61.099001,-46.833515,0.7025
2019-08-07,0.1948,61.099,-46.833514,0.8646
2019-08-08,0.1949,61.098996,-46.833514,0.5523
2019-08-09,0.1862,61.098996,-46.833513,0.9998
2019-08-10,0.1953,61.098997,-46.833519,0.6788
2019-08-11,0.199,61.098993,-46.833512,0.2333
2019-08-12,0.2035,61.098993,-46.833516,0.6475
2019-08-13,0.1815,61.098994,-46.833514,0.7351
2019-08-14,0.2077,61.098993,-46.833523,0.2312
2019-08-15,0.226,61.098989,-46.833519,0.4157
2019-08-16,0.223,61.098989,-46.833523,0.2197
2019-08-17,0.213,61.098984,-46.833528,0.5658
