time,alb_KAN_U,lat_KAN_U,lon_KAN_U,cloud_KAN_U
2018-07-20,0.8626,67.000449,-47.027972,0.993
2018-07-21,0.7715,67.000452,-47.027969,0.7186
2018-07-22,0.7831,67.000453,-47.027983,0.7178
2018-07-23,0.8208,67.000451,-47.02799,0.9154
2018-07-24,0.8512,67.000453,-47.027986,0.5157
2018-07-25,0.8151,67.000452,-47.027986,0.2288
2018-07-26,0.926,67.000448,-47.028003,0.9862
2018-07-27,0.9325,67.000453,-47.027995,0.9996
2018-07-28,0.8724,67.000451,-47.028006,0.7832
2018-07-29,0.8356,67.000452,-47.027994,0.1992
2018-07-30,0.7846,67.000442,-47.028018,0.2913
2018-07-31,0.7834,67.00045,-47.028021,0.5483
2018-08-01,0.8053,67.000452,-47.028018,0.7694
2018-08-02,0.8436,67.000451,-47.028024,0.8762
2018-08-03,0.8735,67.000452,-47.028028,0.9277
2018-08-04,0.7881,67.000453,-47.028038,0.2862
2018-08-05,0.7771,67.000449,-47.028031,0.0945
2018-08-06,0.7915,67.000448,-47.02804,0.1831
2018-08-07,0.8604,67.000449,-47.028046,0.7148
2018-08-08,0.808,67.000458,-47.028035,0.9825
2018-08-09,0.7874,67.000453,-47.02804,0.7844
2018-08-10,0.7657,67.00045,-47.028053,0.1177
2018-08-11,0.7622,67.000451,-47.028047,0.1816
2018-08-12,0.7524,67.000452,-47.028053,0.206
2018-08-13,0.7817,67.000452,-47.028053,0.6311
2018-08-14,0.7691,67.000454,-47.028064,0.7161
2018-08-15,0.8028,67.000458,-47.028068,0.8944
2018-08-16,0.7913,67.000451,-47.02806,0.6308
2018-08-17,0.8251,67.000451,-47.028072,0.8514
2018-08-18,0.7779,67.000452,-47.028079,0.3237
2018-08-19,0.7766,67.000455,-47.02809,0.2116
2018-08-20,0.8175,67.000452,-47.028086,0.5171
2018-08-21,0.8601,67.000453,-47.028098,0.6773
2018-08-22,0.8583,67.000456,-47.028111,0.6255
2018-08-23,0.8687,67.000451,-47.028112,0.7273
2018-08-24,0.8285,67.000457,-47.028106,0.3407
2018-08-25,0.8706,67.000452,-47.028103,0.8897
2018-08-26,0.8249,67.000459,-47.028129,0.5241
2018-08-27,0.8246,67.000451,-47.028133,0.3518
2018-08-28,0.7126,67.000451,-47.02816,0.5862
2018-08-29,0.7919,67.000467,-47.028156,0.7072
2018-08-30,0.876,67.000472,-47.028171,0.9348
2018-08-31,0.8937,67.000474,-47.028148,0.9443
2018-09-01,0.8961,67.000462,-47.028168,0.8257
2018-09-02,0.8403,67.000466,-47.028182,0.3066
2018-09-03,0.8826,67.000456,-47.028179,0.9368
2018-09-04,0.912,67.000475,-47.028159,0.6436
2018-09-05,0.8714,67.000473,-47.028162,0.7299
2018-09-06,0.8767,67.00047,-47.028202,0.6871
2018-09-07,0.8264,67.000462,-47.028178,0.4942
2018-09-08,0.8593,67.000472,-47.028186,0.6984
2018-09-09,0.8015,67.000471,-47.028192,0.176
2018-09-10,0.8397,67.000463,-47.028187,0.9623
2018-09-11,0.8369,67.000464,-47.028194,0.5524
2018-09-12,0.9153,67.000451,-47.028183,0.994
2018-09-13,0.7955,67.000463,-47.028181,0.353
2018-09-14,0.7992,67.000457,-47.02821,0.2416
2018-09-15,0.8024,67.000469,-47.028181,0.4077
2018-09-16,0.8349,67.000465,-47.028191,0.6726
2018-09-17,0.8117,67.000465,-47.028197,0.1167
2018-09-18,0.8205,67.000462,-47.028212,0.255
2018-09-19,0.8066,67.000464,-47.02819,0.2179
2018-09-20,0.7841,67.000466,-47.02824,0.48
2018-09-21,0.8103,67.000466,-47.028236,0.2092
2018-09-22,0.8,67.000472,-47.028226,0.2104
2018-09-23,0.8528,67.000461,-47.028227,0.7899
2018-09-24,0.7908,67.00046,-47.028248,0.2215
2018-09-25,0.9108,67.000471,-47.028232,0.8446
2019-05-01,0.9512,67.000495,-47.028993,0.0107
2019-05-02,0.9552,67.000482,-47.029001,0.2234
2019-05-03,0.9438,67.000485,-47.029029,0.3014
2019-05-04,0.9114,67.0005,-47.028977,0.4976
2019-05-05,0.917,67.000476,-47.028997,0.7028
2019-05-06,0.9389,67.000491,-47.028995,0.1897
2019-05-07,0.9276,67.000501,-47.029033,0.2415
2019-05-08,0.9337,67.000486,-47.028999,0.1956
2019-05-09,0.9411,67.000476,-47.029035,0.3653
2019-05-10,0.8658,67.000484,-47.028994,0.9741
2019-05-11,0.8996,67.000486,-47.029024,0.5728
2019-05-12,0.915,67.000488,-47.029018,0.0701
2019-05-13,0.912,67.000489,-47.029034,0.11
2019-05-14,0.8669,67.000491,-47.029001,0.5462
2019-05-15,0.8923,67.000481,-47.029026,0.4554
2019-05-16,0.8964,67.00049,-47.02902,0.2716
2019-05-17,0.9153,67.000492,-47.029063,0.3935
2019-05-18,0.9036,67.000492,-47.029071,0.1694
2019-05-19,0.9079,67.000493,-47.029036,0.1514
2019-05-20,0.8733,67.000475,-47.02904,0.3575
2019-05-21,0.8877,67.000491,-47.029061,0.173
2019-05-22,0.8978,67.000496,-47.029074,0.0562
2019-05-23,0.8932,67.000487,-47.029034,0.0604
2019-05-24,0.8881,67.000491,-47.029077,0.1006
2019-05-25,0.8803,67.000486,-47.02905,0.0552
2019-05-26,0.8875,67.000476,-47.029085,0.0843
2019-05-27,0.8876,67.000489,-47.029073,0.0907
2019-05-28,0.8801,67.000495,-47.029068,0.0599
2019-05-29,0.8844,67.000487,-47.029082,0.0357
2019-05-30,0.8841,67.000483,-47.029083,0.0662
2019-05-31,0.8719,67.000488,-47.029093,0.323
2019-06-01,0.8672,67.000496,-47.029088,0.3151
2019-06-02,0.8976,67.000495,-47.029106,0.4572
2019-06-03,0.889,67.000508,-47.029113,0.9005
2019-06-04,0.8939,67.000482,-47.029104,0.4572
2019-06-05,0.8812,67.000498,-47.02911,0.0546
2019-06-06,0.8391,67.000496,-47.029093,0.5538
2019-06-07,0.8499,67.000484,-47.029066,0.5372
2019-06-08,0.8282,67.000489,-47.029108,0.2616
2019-06-09,0.8095,67.000486,-47.029129,0.621
2019-06-10,0.8211,67.000483,-47.029107,0.1478
2019-06-11,0.8072,67.000495,-47.029135,0.322
2019-06-12,0.8076,67.000491,-47.029093,0.2996
2019-06-13,0.8702,67.000491,-47.029096,0.4908
2019-06-14,0.8236,67.000496,-47.029119,0.6027
2019-06-15,0.7984,67.000496,-47.029119,0.242
2019-06-16,0.79,67.000495,-47.029168,0.2162
2019-06-17,0.7893,67.000493,-47.029132,0.1418
2019-06-18,0.7866,67.000495,-47.029117,0.2226
2019-06-19,0.7857,67.000497,-47.029121,0.2836
2019-06-20,0.7966,67.000497,-47.029136,0.1507
2019-06-21,0.7884,67.000494,-47.029131,0.3078
2019-06-22,0.847,67.000489,-47.029103,0.8534
2019-06-23,0.8142,67.000493,-47.029117,0.917
2019-06-24,0.8408,67.000494,-47.029132,0.9856
2019-06-25,0.843,67.000492,-47.029126,0.9908
2019-06-26,0.8109,67.000498,-47.029126,0.648
2019-06-27,0.8052,67.000495,-47.029135,0.7186
2019-06-28,0.8715,67.000495,-47.029136,0.8878
2019-06-29,0.846,67.000496,-47.029142,0.6716
2019-06-30,0.8571,67.000485,-47.029139,0.3721
2019-07-01,0.8492,67.000491,-47.029143,0.3085
2019-07-02,0.8501,67.000492,-47.029161,0.5311
2019-07-03,0.8315,67.000496,-47.02916,0.4997
2019-07-04,0.8517,67.000496,-47.029176,0.1033
2019-07-05,0.801,67.0005,-47.029201,0.5684
2019-07-06,0.7919,67.000503,-47.029179,0.3607
2019-07-07,0.7847,67.000498,-47.029186,0.3206
2019-07-08,0.7668,67.0005,-47.029178,0.1217
2019-07-09,0.7566,67.000495,-47.029182,0.2873
2019-07-10,0.8026,67.000498,-47.029176,0.9752
2019-07-11,0.7731,67.000499,-47.029179,0.6743
2019-07-12,0.7758,67.000497,-47.02919,0.0914
2019-07-13,0.7643,67.000495,-47.029179,0.1613
2019-07-14,0.7569,67.000491,-47.029191,0.1344
2019-07-15,0.7461,67.000494,-47.029192,0.1663
2019-07-16,0.7345,67.000496,-47.029201,0.1496
2019-07-17,0.765,67.000497,-47.029213,0.787
2019-07-18,0.7707,67.000496,-47.029208,0.7403
2019-07-19,0.7121,67.000497,-47.029212,0.8734
2019-07-20,0.7373,67.000499,-47.029225,0.8682
2019-07-21,0.6762,67.000495,-47.029218,0.3078
2019-07-22,0.661,67.000496,-47.029223,0.3098
2019-07-23,0.6666,67.000492,-47.02922,0.1773
2019-07-24,0.7479,67.000496,-47.029218,0.8463
2019-07-25,0.6539,67.000491,-47.02923,0.2062
2019-07-26,0.6571,67.000494,-47.029233,0.2362
2019-07-27,0.7364,67.000495,-47.029232,0.7139
2019-07-28,0.7119,67.000496,-47.029246,0.3574
2019-07-29,0.6376,67.000497,-47.029249,0.275
2019-07-30,0.7726,67.000503,-47.029252,0.8641
2019-07-31,0.5936,67.000501,-47.02925,0.5465
2019-08-01,0.5935,67.000492,-47.029252,0.2051
2019-08-02,0.6374,67.000498,-47.029252,0.2912
2019-08-03,0.5967,67.000502,-47.029264,0.2963
2019-08-04,0.5926,67.000495,-47.029258,0.2688
2019-08-05,0.5993,67.000498,-47.029282,0.3187
2019-08-06,0.6416,67.000496,-47.029272,0.5088
2019-08-07,0.7574,67.000497,-47.029276,0.9678
2019-08-08,0.6741,67.000496,-47.029272,0.7269
2019-08-09,0.6373,67.000497,-47.029275,0.2276
2019-08-10,0.6438,67.000498,-47.029276,0.2074
2019-08-11,0.63,67.000499,-47.029297,0.1912
2019-08-12,0.64,67.000499,-47.029295,0.1352
2019-08-13,0.6274,67.000495,-47.029297,0.1383
2019-08-14,0.6302,67.000495,-47.029299,0.2588
2019-08-15,0.8238,67.000498,-47.029303,0.8466
2019-08-16,0.8337,67.000497,-47.029318,0.9625
2019-08-17,0.6598,67.000489,-47.029319,0.4649
2019-08-18,0.626,67.0005,-47.029322,0.6573
2019-08-19,0.6326,67.000501,-47.02932,0.7633
2019-08-20,0.5826,67.000494,-47.029328,0.2669
2019-08-21,0.8459,67.000495,-47.029323,0.8481
2019-08-22,0.8785,67.000496,-47.029331,0.9637
2019-08-23,0.7083,67.000503,-47.029331,0.7902
2019-08-24,0.7463,67.000496,-47.029334,0.6015
2019-08-25,0.6641,67.000499,-47.02935,0.2877
2019-08-26,0.8963,67.000503,-47.029364,0.8484
2019-08-27,0.6774,67.000497,-47.029372,0.4018
2019-08-28,0.6548,67.0005,-47.029362,0.5275
2019-08-29,0.6466,67.00049,-47.029377,0.4686
2019-08-30,0.664,67.000505,-47.029383,0.2235
2019-08-31,0.6918,67.00049,-47.029396,0.1365
2019-09-01,0.6451,67.000497,-47.029379,0.3207
2019-09-02,0.9029,67.000499,-47.029415,0.9969
2019-09-03,0.9357,67.000491,-47.029391,0.8793
2019-09-04,0.9555,67.000487,-47.029404,0.9087
2019-09-05,0.9166,67.0005,-47.029366,0.8178
2019-09-06,0.8965,67.000493,-47.029392,0.7082
2019-09-07,0.8982,67.000497,-47.029405,0.9863
2019-09-08,0.9706,67.000498,-47.029391,0.9671
2019-09-09,0.975,67.000474,-47.02941,0.2077
2019-09-10,0.9791,67.000488,-47.029385,0.3554
2019-09-11,0.9945,67.000492,-47.0294,0.8211
2019-09-12,0.9582,67.000488,-47.029407,0.8684
2019-09-13,0.9689,67.000507,-47.029432,0.8528
2019-09-15,0.9286,67.000499,-47.029411,0.9965
2019-09-16,0.9737,67.000495,-47.02944,0.8332
2019-09-19,0.9739,67.00051,-47.029429,0.4417
2019-09-21,0.9132,67.000502,-47.029461,0.9769
2019-09-22,0.9164,67.000496,-47.029447,0.9433
2019-09-23,0.9118,67.000508,-47.029468,0.7686
2019-09-24,0.9732,67.000502,-47.029445,0.6554
2020-09-08,0.8133,67.000522,-47.030654,0.8176
2020-09-09,0.9019,67.000531,-47.030624,0.7769
2020-09-10,0.9876,67.00053,-47.030626,0.8971
2020-09-11,0.881,67.000534,-47.030623,0.9002
