date,site,alb_s3,alb_AWS,cloud
2017-05-11,QAS_L,nan,0.7051,0.632
2017-05-11,QAS_M,nan,0.7358,0.6842
2017-05-11,QAS_U,nan,0.722,0.4663
2017-05-11,SCO_L,nan,0.6966,0.4156
2017-05-11,SCO_U,nan,0.8282,0.3697
2017-05-11,TAS_A,nan,0.7223,0.5522
2017-05-11,THU_L,0.858,0.7474,0.5476
2017-05-11,THU_U,0.861,0.7247,0.4506
2017-05-11,UPE_L,nan,0.8318,0.8649
2017-05-11,UPE_U,nan,0.8868,0.8651
2017-05-12,EGP,0.851,0.7781,0.3581
2017-05-12,KAN_L,nan,0.7429,0.9205
2017-05-12,KAN_M,nan,0.8045,0.8148
2017-05-12,KAN_U,nan,0.862,0.6757
2017-05-12,KPC_L,nan,0.7871,0.1609
2017-05-12,KPC_U,0.835,0.8274,0.2177
2017-05-12,NUK_K,0.702,0.4596,0.2158
2017-05-12,NUK_L,nan,0.5405,0.528
2017-05-12,QAS_L,nan,0.8151,0.711
2017-05-12,QAS_M,nan,0.8613,0.7282
2017-05-12,QAS_U,nan,0.7595,0.5546
2017-05-12,SCO_L,nan,0.7895,0.707
2017-05-12,SCO_U,nan,0.8306,0.6269
2017-05-12,TAS_A,nan,0.8558,0.5914
2017-05-12,THU_L,nan,0.7677,0.1262
2017-05-12,THU_U,0.847,0.806,0.0826
2017-05-12,UPE_L,nan,0.8224,0.964
2017-05-12,UPE_U,nan,0.7913,0.3157
2017-05-13,EGP,0.826,0.8158,0.2045
2017-05-13,KAN_L,nan,0.6722,0.3193
2017-05-13,KAN_M,0.814,0.757,0.3173
2017-05-13,KAN_U,0.827,0.8185,0.241
2017-05-13,KPC_L,nan,0.7851,0.1972
2017-05-13,KPC_U,0.829,0.8254,0.2815
2017-05-13,NUK_K,nan,0.5365,0.7067
2017-05-13,NUK_L,nan,0.6583,0.6702
2017-05-13,QAS_L,nan,0.7732,0.5694
2017-05-13,QAS_M,nan,0.791,0.5335
2017-05-13,QAS_U,nan,0.7382,0.3781
2017-05-13,SCO_L,nan,0.7497,0.3555
2017-05-13,SCO_U,nan,0.8006,0.2565
2017-05-13,TAS_A,nan,0.7476,0.5266
2017-05-13,THU_L,0.831,0.764,0.2124
2017-05-13,THU_U,0.834,0.798,0.119
2017-05-13,UPE_L,nan,0.7983,0.7427
2017-05-13,UPE_U,0.840,0.7697,0.1108
2017-05-14,EGP,0.820,0.8206,0.2623
2017-05-14,KAN_L,nan,0.6423,0.0519
2017-05-14,KAN_M,0.789,0.7674,0.0689
2017-05-14,KAN_U,0.826,0.8165,0.0935
2017-05-14,KPC_L,nan,0.7686,0.3815
2017-05-14,KPC_U,0.853,0.8463,0.5357
2017-05-14,NUK_K,0.684,0.4989,0.1487
2017-05-14,NUK_L,nan,0.5499,0.0078
2017-05-14,QAS_L,nan,0.6924,0.1688
2017-05-14,QAS_M,0.901,0.7537,0.171
2017-05-14,QAS_U,0.846,0.7316,0.0195
2017-05-14,SCO_L,nan,0.7402,0.5593
2017-05-14,SCO_U,nan,0.8142,0.4968
2017-05-14,TAS_A,0.756,0.733,0.6378
2017-05-14,THU_L,nan,0.7641,0.1312
2017-05-14,THU_U,0.835,0.7884,0.0941
2017-05-14,UPE_L,nan,0.7661,0.4664
2017-05-14,UPE_U,0.835,0.8322,0.3403
2017-05-15,EGP,0.834,0.8028,0.3321
2017-05-15,KAN_L,0.695,0.6039,0.0915
2017-05-15,KAN_M,0.780,0.7582,0.117
2017-05-15,KAN_U,0.816,0.8095,0.1076
2017-05-15,KPC_L,nan,0.7855,0.1734
2017-05-15,KPC_U,0.836,0.828,0.223
2017-05-15,NUK_K,nan,0.5157,0.1375
2017-05-15,NUK_L,nan,0.5259,0.0418
2017-05-15,QAS_L,0.738,0.6665,0.1635
2017-05-15,QAS_M,0.812,0.717,0.1903
2017-05-15,QAS_U,nan,0.6898,0.0914
2017-05-15,SCO_L,nan,0.7262,0.4077
2017-05-15,SCO_U,nan,0.8103,0.3551
2017-05-15,TAS_A,nan,0.8778,0.9724
2017-05-15,THU_L,nan,0.7544,0.0938
2017-05-15,THU_U,0.824,0.7848,0.0847
2017-05-15,UPE_L,nan,0.741,0.5672
2017-05-15,UPE_U,nan,0.8182,0.4454
2017-05-16,EGP,0.831,0.7679,0.3094
2017-05-16,KAN_L,0.680,0.5742,0.1203
2017-05-16,KAN_M,0.778,0.7585,0.1147
2017-05-16,KAN_U,0.809,0.8034,0.1579
2017-05-16,KPC_L,nan,0.7829,0.2114
2017-05-16,KPC_U,0.836,0.819,0.2784
2017-05-16,NUK_K,nan,0.5757,0.3688
2017-05-16,NUK_L,nan,0.5075,0.0786
2017-05-16,QAS_L,nan,0.7077,0.6464
2017-05-16,QAS_M,nan,0.7191,0.2861
2017-05-16,QAS_U,0.767,0.7002,0.1545
2017-05-16,SCO_L,nan,0.7085,0.5429
2017-05-16,SCO_U,nan,0.7923,0.5174
2017-05-16,TAS_A,0.840,0.7741,0.458
2017-05-16,THU_L,nan,0.7671,0.169
2017-05-16,THU_U,0.818,0.7782,0.0811
2017-05-16,UPE_L,nan,0.7558,0.6737
2017-05-16,UPE_U,nan,0.8424,0.6828
2017-05-17,EGP,0.822,0.8003,0.4796
2017-05-17,KAN_L,nan,0.5727,0.327
2017-05-17,KAN_M,nan,0.7815,0.3504
2017-05-17,KAN_U,0.823,0.8237,0.3055
2017-05-17,KPC_L,nan,0.7808,0.266
2017-05-17,KPC_U,0.831,0.8213,0.3433
2017-05-17,NUK_K,nan,0.6755,0.9047
2017-05-17,NUK_L,nan,0.529,0.5624
2017-05-17,QAS_L,0.787,0.6749,0.4907
2017-05-17,QAS_M,0.744,0.7295,0.4582
2017-05-17,QAS_U,0.753,0.7386,0.4212
2017-05-17,SCO_L,nan,0.7014,0.3063
2017-05-17,SCO_U,0.826,0.7897,0.1392
2017-05-17,TAS_A,0.804,0.724,0.1916
2017-05-17,THU_L,nan,0.8495,0.8486
2017-05-17,THU_U,nan,0.8386,0.8224
2017-05-17,UPE_L,nan,0.7765,0.7966
2017-05-17,UPE_U,nan,0.8536,0.767
2017-05-18,EGP,nan,0.8264,0.3902
2017-05-18,KAN_L,nan,0.5777,0.9405
2017-05-18,KAN_M,nan,0.826,0.9238
2017-05-18,KAN_U,nan,0.8783,0.9115
2017-05-18,KPC_L,nan,0.7998,0.6326
2017-05-18,KPC_U,0.824,0.8173,0.2812
2017-05-18,NUK_K,nan,0.7511,0.9944
2017-05-18,NUK_L,nan,0.5966,0.9374
2017-05-18,QAS_L,nan,0.7871,0.9696
2017-05-18,QAS_M,nan,0.8357,0.9855
2017-05-18,QAS_U,nan,0.8355,0.9951
2017-05-18,SCO_L,nan,0.6937,0.343
2017-05-18,SCO_U,nan,0.7648,0.1866
2017-05-18,TAS_A,nan,0.715,0.2826
2017-05-18,THU_L,nan,0.8407,0.8953
2017-05-18,THU_U,nan,0.8738,0.8593
2017-05-18,UPE_L,nan,0.8624,0.9156
2017-05-18,UPE_U,nan,0.9146,0.869
2017-05-19,EGP,0.835,0.7986,0.305
2017-05-19,KAN_L,nan,0.5463,0.7523
2017-05-19,KAN_M,nan,0.8073,0.8633
2017-05-19,KAN_U,nan,0.877,0.9028
2017-05-19,KPC_L,nan,0.8319,0.5678
2017-05-19,KPC_U,0.820,0.8318,0.5257
2017-05-19,NUK_K,nan,0.7861,0.9786
2017-05-19,NUK_L,nan,0.5017,0.7863
2017-05-19,QAS_L,nan,0.7673,0.9997
2017-05-19,QAS_M,nan,0.848,1.0
2017-05-19,QAS_U,nan,0.8529,1.0
2017-05-19,SCO_L,nan,0.6158,0.2831
2017-05-19,SCO_U,nan,0.737,0.1665
2017-05-19,TAS_A,nan,0.7739,0.8876
2017-05-19,THU_L,0.893,0.8406,0.7011
2017-05-19,THU_U,nan,0.8758,0.6557
2017-05-19,UPE_L,nan,0.8327,1.0
2017-05-19,UPE_U,nan,0.8744,0.8059
2017-05-20,EGP,0.824,0.8178,0.2225
2017-05-20,KAN_L,nan,0.5712,0.8044
2017-05-20,KAN_M,nan,0.811,0.7803
2017-05-20,KAN_U,nan,0.8993,0.8979
2017-05-20,KPC_L,nan,0.8072,0.446
2017-05-20,KPC_U,0.823,0.8262,0.3798
2017-05-20,NUK_K,nan,0.8472,0.9955
2017-05-20,NUK_L,nan,0.4749,0.8805
2017-05-20,QAS_L,nan,0.7466,0.9547
2017-05-20,QAS_M,nan,0.7948,0.9449
2017-05-20,QAS_U,nan,0.8146,0.9392
2017-05-20,SCO_L,nan,0.5453,0.3129
2017-05-20,SCO_U,nan,0.6744,0.213
2017-05-20,TAS_A,0.741,0.6988,0.4749
2017-05-20,THU_L,nan,0.7907,0.1608
2017-05-20,THU_U,0.861,0.8292,0.1178
2017-05-20,UPE_L,nan,0.896,0.9927
2017-05-20,UPE_U,nan,0.9213,0.9775
2017-05-21,EGP,0.837,0.7942,0.3072
2017-05-21,KAN_L,nan,0.7124,0.9273
2017-05-21,KAN_M,nan,0.8259,0.9163
2017-05-21,KAN_U,nan,0.8359,0.8813
2017-05-21,KPC_L,nan,0.8184,0.1656
2017-05-21,KPC_U,0.860,0.8426,0.2089
2017-05-21,NUK_K,nan,0.6895,0.8217
2017-05-21,NUK_L,nan,0.4699,0.9836
2017-05-21,QAS_L,nan,0.6731,0.6954
2017-05-21,QAS_M,nan,0.6749,0.5496
2017-05-21,QAS_U,nan,0.708,0.202
2017-05-21,SCO_L,nan,0.4982,0.2523
2017-05-21,SCO_U,0.688,0.6596,0.2031
2017-05-21,TAS_A,0.715,0.6745,0.239
2017-05-21,THU_L,nan,0.8183,0.5644
2017-05-21,THU_U,0.868,0.8158,0.4705
2017-05-21,UPE_L,nan,0.8301,0.9484
2017-05-21,UPE_U,nan,0.8353,0.7953
2017-05-22,EGP,0.827,0.7824,0.2746
2017-05-22,KAN_L,nan,0.7986,0.9226
2017-05-22,KAN_M,nan,0.8043,0.9137
2017-05-22,KAN_U,0.771,0.7739,0.2804
2017-05-22,KPC_L,nan,0.815,0.1523
2017-05-22,KPC_U,0.846,0.8367,0.1613
2017-05-22,NUK_K,nan,0.647,0.5317
2017-05-22,NUK_L,nan,0.4589,0.8182
2017-05-22,QAS_L,0.726,0.6492,0.2979
2017-05-22,QAS_M,0.772,0.6743,0.3684
2017-05-22,QAS_U,0.788,0.6974,0.2507
2017-05-22,SCO_L,nan,0.5532,0.8521
2017-05-22,SCO_U,nan,0.6997,0.8509
2017-05-22,TAS_A,nan,0.7253,0.6185
2017-05-22,THU_L,nan,0.7947,0.168
2017-05-22,THU_U,0.841,0.8147,0.1331
2017-05-22,UPE_L,nan,0.8389,0.8951
2017-05-22,UPE_U,0.850,0.7975,0.446
2017-05-23,EGP,0.825,0.752,0.2277
2017-05-23,KAN_L,nan,0.697,0.7284
2017-05-23,KAN_M,nan,0.7475,0.514
2017-05-23,KAN_U,nan,0.7787,0.4447
2017-05-23,KPC_L,nan,0.8055,0.2404
2017-05-23,KPC_U,0.835,0.8178,0.1845
2017-05-23,NUK_K,nan,0.7712,0.9057
2017-05-23,NUK_L,nan,0.4981,0.7658
2017-05-23,QAS_L,nan,0.6628,0.9014
2017-05-23,QAS_M,nan,0.6869,0.9393
2017-05-23,QAS_U,nan,0.7347,0.8657
2017-05-23,SCO_L,nan,0.5783,0.8835
2017-05-23,SCO_U,nan,0.7139,0.8493
2017-05-23,TAS_A,nan,0.7125,0.7051
2017-05-23,THU_L,nan,0.8657,0.8994
2017-05-23,THU_U,nan,0.8382,0.8951
2017-05-23,UPE_L,nan,0.8066,0.7022
2017-05-23,UPE_U,0.829,0.7891,0.0711
2017-05-24,EGP,0.820,0.8138,0.2612
2017-05-24,KAN_L,nan,0.6615,0.8546
2017-05-24,KAN_M,nan,0.758,0.5313
2017-05-24,KAN_U,0.769,0.7772,0.3285
2017-05-24,KPC_L,nan,0.7959,0.1916
2017-05-24,KPC_U,0.835,0.8086,0.2502
2017-05-24,NUK_K,nan,0.7927,0.9824
2017-05-24,NUK_L,nan,0.5464,0.9412
2017-05-24,QAS_L,nan,0.7161,0.9753
2017-05-24,QAS_U,nan,0.8018,0.9826
2017-05-24,SCO_L,nan,0.5257,0.1657
2017-05-24,SCO_U,nan,0.6748,0.0644
2017-05-24,TAS_A,nan,0.7783,0.9064
2017-05-24,THU_L,nan,0.7977,0.7804
2017-05-24,THU_U,nan,0.8047,0.7324
2017-05-24,UPE_L,nan,0.7517,0.222
2017-05-24,UPE_U,nan,0.7831,0.0064
2017-05-25,EGP,0.819,0.8178,0.2837
2017-05-25,KAN_L,nan,0.593,0.5333
2017-05-25,KAN_M,0.795,0.731,0.3775
2017-05-25,KAN_U,0.773,0.7726,0.27
2017-05-25,KPC_L,nan,0.7895,0.1592
2017-05-25,KPC_U,0.826,0.8077,0.1996
