date,site,alb_sat,alb_AWS,cloud
2017_05_13,KAN_L,0.596,0.6722,0.3193
2017_05_13,KAN_M,0.766,0.757,0.3173
2017_05_13,KAN_U,0.821,0.8185,0.241
2017_05_13,KPC_L,0.695,0.7851,0.1972
2017_05_13,KPC_U,0.777,0.8254,0.2815
2017_05_13,NUK_K,0.545,0.5365,0.7067
2017_05_13,NUK_L,0.531,0.6583,0.6702
2017_05_13,QAS_L,0.714,0.7732,0.5694
2017_05_13,QAS_M,0.761,0.791,0.5335
2017_05_13,QAS_U,0.763,0.7382,0.3781
2017_05_13,SCO_L,0.688,0.7497,0.3555
2017_05_13,SCO_U,0.726,0.8006,0.2565
2017_05_13,TAS_A,0.739,0.7476,0.5266
2017_05_13,THU_L,0.779,0.764,0.2124
2017_05_13,THU_U,0.829,0.798,0.119
2017_05_13,UPE_L,0.744,0.7983,0.7427
2017_05_13,UPE_U,0.803,0.7697,0.1108
2017_05_14,EGP,0.810,0.8206,0.2623
2017_05_14,KAN_L,0.596,0.6423,0.0519
2017_05_14,KAN_M,0.766,0.7674,0.0689
2017_05_14,KAN_U,0.821,0.8165,0.0935
2017_05_14,KPC_L,0.698,0.7686,0.3815
2017_05_14,KPC_U,0.776,0.8463,0.5357
2017_05_14,NUK_K,0.545,0.4989,0.1487
2017_05_14,NUK_L,0.530,0.5499,0.0078
2017_05_14,QAS_L,0.713,0.6924,0.1688
2017_05_14,QAS_M,0.760,0.7537,0.171
2017_05_14,QAS_U,0.763,0.7316,0.0195
2017_05_14,SCO_L,0.666,0.7402,0.5593
2017_05_14,SCO_U,0.724,0.8142,0.4968
2017_05_14,TAS_A,0.736,0.733,0.6378
2017_05_14,THU_L,0.779,0.7641,0.1312
2017_05_14,THU_U,0.835,0.7884,0.0941
2017_05_14,UPE_L,0.743,0.7661,0.4664
2017_05_14,UPE_U,0.803,0.8322,0.3403
2017_05_15,EGP,0.810,0.8028,0.3321
2017_05_15,KAN_L,0.593,0.6039,0.0915
2017_05_15,KAN_M,0.766,0.7582,0.117
2017_05_15,KAN_U,0.814,0.8095,0.1076
2017_05_15,KPC_L,0.700,0.7855,0.1734
2017_05_15,KPC_U,0.778,0.828,0.223
2017_05_15,NUK_K,0.539,0.5157,0.1375
2017_05_15,NUK_L,0.526,0.5259,0.0418
2017_05_15,QAS_L,0.712,0.6665,0.1635
2017_05_15,QAS_M,0.763,0.717,0.1903
2017_05_15,QAS_U,0.768,0.6898,0.0914
2017_05_15,SCO_L,0.676,0.7262,0.4077
2017_05_15,SCO_U,0.725,0.8103,0.3551
2017_05_15,TAS_A,0.739,0.8778,0.9724
2017_05_15,THU_L,0.776,0.7544,0.0938
2017_05_15,THU_U,0.819,0.7848,0.0847
2017_05_15,UPE_L,0.742,0.741,0.5672
2017_05_15,UPE_U,0.805,0.8182,0.4454
2017_05_16,EGP,0.810,0.7679,0.3094
2017_05_16,KAN_L,0.601,0.5742,0.1203
2017_05_16,KAN_M,0.763,0.7585,0.1147
2017_05_16,KAN_U,0.807,0.8034,0.1579
2017_05_16,KPC_L,0.699,0.7829,0.2114
2017_05_16,KPC_U,0.776,0.819,0.2784
2017_05_16,NUK_K,0.538,0.5757,0.3688
2017_05_16,NUK_L,0.520,0.5075,0.0786
2017_05_16,QAS_L,0.712,0.7077,0.6464
2017_05_16,QAS_M,0.763,0.7191,0.2861
2017_05_16,QAS_U,0.773,0.7002,0.1545
2017_05_16,SCO_L,0.685,0.7085,0.5429
2017_05_16,SCO_U,0.725,0.7923,0.5174
2017_05_16,TAS_A,0.741,0.7741,0.458
2017_05_16,THU_L,0.777,0.7671,0.169
2017_05_16,THU_U,0.819,0.7782,0.0811
2017_05_16,UPE_L,0.765,0.7558,0.6737
2017_05_16,UPE_U,0.809,0.8424,0.6828
2017_05_17,EGP,0.813,0.8003,0.4796
2017_05_17,KAN_L,0.602,0.5727,0.327
2017_05_17,KAN_M,0.762,0.7815,0.3504
2017_05_17,KAN_U,0.806,0.8237,0.3055
2017_05_17,KPC_L,0.700,0.7808,0.266
2017_05_17,KPC_U,0.777,0.8213,0.3433
2017_05_17,NUK_K,0.538,0.6755,0.9047
2017_05_17,NUK_L,0.520,0.529,0.5624
2017_05_17,QAS_L,0.712,0.6749,0.4907
2017_05_17,QAS_M,0.762,0.7295,0.4582
2017_05_17,QAS_U,0.772,0.7386,0.4212
2017_05_17,SCO_L,0.662,0.7014,0.3063
2017_05_17,SCO_U,0.723,0.7897,0.1392
2017_05_17,TAS_A,0.740,0.724,0.1916
2017_05_17,THU_L,0.777,0.8495,0.8486
2017_05_17,THU_U,0.822,0.8386,0.8224
2017_05_17,UPE_L,0.774,0.7765,0.7966
2017_05_17,UPE_U,0.810,0.8536,0.767
2017_05_18,EGP,0.821,0.8264,0.3902
2017_05_18,KAN_L,0.602,0.5777,0.9405
2017_05_18,KAN_M,0.761,0.826,0.9238
2017_05_18,KAN_U,0.795,0.8783,0.9115
2017_05_18,KPC_L,0.696,0.7998,0.6326
2017_05_18,KPC_U,0.777,0.8173,0.2812
2017_05_18,NUK_K,0.538,0.7511,0.9944
2017_05_18,NUK_L,0.520,0.5966,0.9374
2017_05_18,QAS_L,0.712,0.7871,0.9696
2017_05_18,QAS_M,0.763,0.8357,0.9855
2017_05_18,QAS_U,0.772,0.8355,0.9951
2017_05_18,SCO_L,0.663,0.6937,0.343
2017_05_18,SCO_U,0.722,0.7648,0.1866
2017_05_18,TAS_A,0.739,0.715,0.2826
2017_05_18,THU_L,32.767,0.8407,0.8953
2017_05_18,THU_U,0.818,0.8738,0.8593
2017_05_18,UPE_L,0.773,0.8624,0.9156
2017_05_18,UPE_U,0.813,0.9146,0.869
2017_05_19,EGP,0.811,0.7986,0.305
2017_05_19,KAN_L,0.604,0.5463,0.7523
2017_05_19,KAN_M,0.758,0.8073,0.8633
2017_05_19,KAN_U,0.796,0.877,0.9028
2017_05_19,KPC_L,0.694,0.8319,0.5678
2017_05_19,KPC_U,0.776,0.8318,0.5257
2017_05_19,NUK_K,0.545,0.7861,0.9786
2017_05_19,NUK_L,0.510,0.5017,0.7863
